Rank	Word	Count	Frequency
278	known	80	0.000369
279	whale’s	80	0.000369
280	set	80	0.000369
281	perhaps	80	0.000369
282	always	80	0.000369
283	wild	80	0.000369
284	Moby	79	0.000364
285	Dick	79	0.000364
286	within	79	0.000364
287	seas	79	0.000364
288	soul	79	0.000364
289	going	79	0.000364
290	nor	79	0.000364
291	present	79	0.000364
292	hard	78	0.000360
293	oil	78	0.000360
294	large	78	0.000360
295	arm	78	0.000360
296	black	78	0.000360
297	length	77	0.000355
298	days	77	0.000355
299	sail	77	0.000355
300	ship’s	77	0.000355
301	Ahab’s	76	0.000351
302	ships	76	0.000351
303	tail	76	0.000351
304	standing	76	0.000351
305	mind	75	0.000346
306	young	75	0.000346
307	word	74	0.000341
308	however	74	0.000341
309	They	74	0.000341
310	beneath	74	0.000341
311	instant	74	0.000341
312	light	74	0.000341
313	iron	74	0.000341
314	done	74	0.000341
315	least	73	0.000337
316	land	73	0.000337
317	whether	73	0.000337
318	vast	73	0.000337
319	cannot	73	0.000337
320	living	72	0.000332
321	because	72	0.000332
322	enough	72	0.000332
323	Nor	72	0.000332
324	cabin	72	0.000332
325	Jonah	71	0.000328
326	harpooneer	71	0.000328
327	No	71	0.000328
328	put	71	0.000328
329	bed	71	0.000328
330	Bildad	71	0.000328
331	give	70	0.000323
332	true	70	0.000323
333	stand	70	0.000323
334	harpoon	70	0.000323
335	he’s	70	0.000323
336	If	69	0.000318
337	name	69	0.000318
338	near	69	0.000318
339	open	68	0.000314
340	lay	68	0.000314
341	case	67	0.000309
342	four	67	0.000309
343	point	67	0.000309
344	morning	67	0.000309
345	often	67	0.000309
346	Peleg	67	0.000309
347	wind	66	0.000305
348	whalemen	66	0.000305
349	business	66	0.000305
350	turned	66	0.000305
351	waters	66	0.000305
352	deep	65	0.000300
353	myself	65	0.000300
354	left	65	0.000300
355	rather	65	0.000300
356	ere	65	0.000300
357	order	64	0.000295
358	general	64	0.000295
359	looked	64	0.000295
360	keep	64	0.000295
361	fire	63	0.000291
362	board	63	0.000291
363	reason	63	0.000291
364	together	63	0.000291
365	To	62	0.000286
366	having	62	0.000286
367	best	61	0.000281
368	since	61	0.000281
369	mate	61	0.000281
370	it’s	61	0.000281
371	Pip	61	0.000281
372	Leviathan	60	0.000277
373	hear	60	0.000277
374	better	60	0.000277
375	why	60	0.000277
376	further	60	0.000277
377	“The	59	0.000272
378	themselves	59	0.000272
379	death	59	0.000272
380	forth	59	0.000272
381	live	59	0.000272
382	mouth	58	0.000268
383	That	58	0.000268
384	I’ll	58	0.000268
385	ocean	57	0.000263
386	aye	57	0.000263
387	feel	56	0.000258
388	peculiar	56	0.000258
389	home	56	0.000258
390	second	56	0.000258
391	chase	56	0.000258
392	lower	56	0.000258
393	His	55	0.000254
394	With	55	0.000254
395	fine	55	0.000254
396	dark	55	0.000254
397	therefore	55	0.000254
398	Gutenberg™	55	0.000254
399	gone	54	0.000249
400	find	54	0.000249
401	goes	54	0.000249
402	turn	54	0.000249
403	short	54	0.000249
404	looking	54	0.000249
405	entire	54	0.000249
406	Right	53	0.000245
407	above	53	0.000245
408	harpooneers	53	0.000245
409	jaw	53	0.000245
410	began	53	0.000245
411	curious	53	0.000245
412	By	52	0.000240
413	Then	52	0.000240
414	comes	52	0.000240
415	that’s	52	0.000240
416	1	51	0.000235
417	aloft	51	0.000235
418	Indian	51	0.000235
419	taken	51	0.000235
420	blood	51	0.000235
421	less	51	0.000235
422	particular	51	0.000235
423	How	51	0.000235
424	broad	51	0.000235
425	rest	51	0.000235
426	used	51	0.000235
427	man’s	51	0.000235
428	call	51	0.000235
429	fishery	51	0.000235
430	Tashtego	51	0.000235
431	You	50	0.000231
432	behind	50	0.000231
433	hundred	50	0.000231
434	Mr	50	0.000231
435	thousand	50	0.000231
436	turning	50	0.000231
437	ivory	50	0.000231
438	bottom	50	0.000231
439	When	50	0.000231
