Rank	Word	Count	Frequency
274	found	50	0.000419
275	want	50	0.000419
276	gone	50	0.000419
277	always	50	0.000419
278	child	50	0.000419
279	between	49	0.000411
280	three	49	0.000411
281	these	49	0.000411
282	whether	49	0.000411
283	hour	49	0.000411
284	There	49	0.000411
285	same	49	0.000411
286	talk	49	0.000411
287	almost	48	0.000403
288	brought	48	0.000403
289	something	48	0.000403
290	word	48	0.000403
291	1	47	0.000394
292	My	47	0.000394
293	else	47	0.000394
294	mistress	47	0.000394
295	world	46	0.000386
296	even	46	0.000386
297	gave	46	0.000386
298	years	46	0.000386
299	sure	46	0.000386
300	quite	46	0.000386
301	death	46	0.000386
302	answer	45	0.000377
303	also	45	0.000377
304	care	45	0.000377
305	wouldn’t	45	0.000377
306	each	45	0.000377
307	he’ll	45	0.000377
308	A	44	0.000369
309	towards	44	0.000369
310	words	44	0.000369
311	turn	44	0.000369
312	“What	44	0.000369
313	present	44	0.000369
314	stay	44	0.000369
315	can’t	44	0.000369
316	why	44	0.000369
317	“But	44	0.000369
318	entered	43	0.000361
319	few	43	0.000361
320	among	43	0.000361
321	sit	43	0.000361
322	far	43	0.000361
323	however	43	0.000361
324	near	43	0.000361
325	chair	43	0.000361
326	full	43	0.000361
327	“It	43	0.000361
328	return	43	0.000361
329	upstairs	43	0.000361
330	Catherine’s	43	0.000361
331	stood	43	0.000361
332	Dean	43	0.000361
333	hope	42	0.000352
334	hardly	42	0.000352
335	yourself	42	0.000352
336	lay	41	0.000344
337	people	41	0.000344
338	bear	41	0.000344
339	next	41	0.000344
340	In	40	0.000335
341	sir	40	0.000335
342	perhaps	40	0.000335
343	least	40	0.000335
344	table	40	0.000335
345	seen	40	0.000335
346	bid	40	0.000335
347	dead	40	0.000335
348	turned	40	0.000335
349	person	40	0.000335
350	bad	40	0.000335
351	knew	40	0.000335
352	believe	39	0.000327
353	further	39	0.000327
354	name	39	0.000327
355	observed	39	0.000327
356	light	39	0.000327
357	poor	39	0.000327
358	walk	39	0.000327
359	ye	39	0.000327
360	fear	39	0.000327
361	son	39	0.000327
362	lad	39	0.000327
363	together	39	0.000327
364	anything	39	0.000327
365	things	39	0.000327
366	countenance	38	0.000319
367	feel	38	0.000319
368	read	38	0.000319
369	companion	38	0.000319
370	What	38	0.000319
371	His	38	0.000319
372	most	37	0.000310
373	black	37	0.000310
374	appeared	37	0.000310
375	kept	37	0.000310
376	ill	37	0.000310
377	worse	37	0.000310
378	kind	37	0.000310
379	unless	37	0.000310
380	neither	37	0.000310
381	moment	37	0.000310
382	voice	37	0.000310
383	hold	37	0.000310
384	hair	37	0.000310
385	days	37	0.000310
386	couldn’t	37	0.000310
387	suppose	36	0.000302
388	looking	36	0.000302
389	hate	36	0.000302
390	cold	36	0.000302
391	They	36	0.000302
392	either	36	0.000302
393	minute	36	0.000302
394	boy	36	0.000302
395	rest	36	0.000302
396	That	36	0.000302
397	less	36	0.000302
398	help	35	0.000293
399	run	35	0.000293
400	“Well	35	0.000293
401	Oh	35	0.000293
402	“Yes	35	0.000293
403	Gimmerton	35	0.000293
404	CHAPTER	34	0.000285
405	within	34	0.000285
406	remained	34	0.000285
407	At	34	0.000285
408	Her	34	0.000285
409	ask	34	0.000285
410	often	34	0.000285
411	road	34	0.000285
412	grew	34	0.000285
413	it’s	34	0.000285
414	chamber	34	0.000285
415	part	34	0.000285
416	“He	34	0.000285
417	This	33	0.000277
418	bring	33	0.000277
419	call	33	0.000277
420	many	33	0.000277
421	opened	33	0.000277
422	called	33	0.000277
423	pleasure	33	0.000277
424	spoke	33	0.000277
425	hurt	33	0.000277
426	garden	33	0.000277
427	rose	33	0.000277
428	ran	33	0.000277
429	held	33	0.000277
430	certain	33	0.000277
431	fingers	32	0.000268
432	used	32	0.000268
433	Then	32	0.000268
434	nobody	32	0.000268
435	servant	32	0.000268
436	show	32	0.000268
437	books	32	0.000268
438	brother	32	0.000268
439	arm	32	0.000268
440	fell	32	0.000268
441	God	32	0.000268
442	As	32	0.000268
443	live	32	0.000268
444	works	32	0.000268
445	company	31	0.000260
446	devil	31	0.000260
447	muttered	31	0.000260
448	instead	31	0.000260
449	“I’m	31	0.000260
450	turning	31	0.000260
451	drew	31	0.000260
452	Zillah	31	0.000260
453	shut	31	0.000260
454	How	31	0.000260
455	use	30	0.000252
456	family	30	0.000252
457	matter	30	0.000252
458	glad	30	0.000252
459	struck	30	0.000252
460	fit	30	0.000252
461	nearly	30	0.000252
462	interrupted	29	0.000243
463	times	29	0.000243
464	indeed	29	0.000243
465	end	29	0.000243
466	living	29	0.000243
467	mother	29	0.000243
468	notice	29	0.000243
469	making	29	0.000243
470	wished	29	0.000243
471	On	29	0.000243
472	“Is	29	0.000243
473	tea	29	0.000243
474	spirit	29	0.000243
475	dark	29	0.000243
476	settle	29	0.000243
477	friend	29	0.000243
478	hours	29	0.000243
479	tears	29	0.000243
480	really	29	0.000243
481	children	29	0.000243
482	trouble	29	0.000243
483	Gutenberg	28	0.000235
484	visit	28	0.000235
485	“The	28	0.000235
486	scarcely	28	0.000235
487	hard	28	0.000235
488	behind	28	0.000235
489	afraid	28	0.000235
490	ready	28	0.000235
491	cry	28	0.000235
492	during	28	0.000235
493	Do	28	0.000235
494	soul	28	0.000235
495	die	28	0.000235
496	sleep	28	0.000235
497	says	28	0.000235
498	presence	28	0.000235
499	please	28	0.000235
500	inquired	28	0.000235
501	new	27	0.000226
502	above	27	0.000226
503	except	27	0.000226
504	seat	27	0.000226
505	hearth	27	0.000226
506	“you	27	0.000226
507	o’	27	0.000226
508	“Why	27	0.000226
509	strange	27	0.000226
510	repeated	27	0.000226
511	lie	27	0.000226
512	wanted	27	0.000226
513	added	27	0.000226
514	sent	27	0.000226
515	sense	27	0.000226
516	whispered	27	0.000226
517	seek	27	0.000226
518	electronic	27	0.000226
519	When	26	0.000218
520	need	26	0.000218
521	white	26	0.000218
522	doubt	26	0.000218
523	tongue	26	0.000218
524	manner	26	0.000218
525	received	26	0.000218
526	laid	26	0.000218
527	commenced	26	0.000218
528	longer	26	0.000218
529	“How	26	0.000218
530	former	26	0.000218
531	idea	26	0.000218
532	candle	26	0.000218
533	sorry	26	0.000218
534	send	26	0.000218
535	reason	26	0.000218
536	directly	26	0.000218
537	angry	26	0.000218
538	late	26	0.000218
539	happy	26	0.000218
540	laugh	26	0.000218
541	He’s	26	0.000218
542	Thrushcross	25	0.000210
543	wonder	25	0.000210
544	No	25	0.000210
545	arms	25	0.000210
546	subject	25	0.000210
547	afternoon	25	0.000210
548	doors	25	0.000210
549	length	25	0.000210
550	pleased	25	0.000210
551	husband	25	0.000210
552	book	25	0.000210
553	“I’ll	25	0.000210
554	means	25	0.000210
555	sake	25	0.000210
556	remember	25	0.000210
557	feet	25	0.000210
558	walked	25	0.000210
559	wild	25	0.000210
560	account	25	0.000210
561	fancy	25	0.000210
562	joy	25	0.000210
563	close	25	0.000210
564	strong	24	0.000201
565	wall	24	0.000201
566	desire	24	0.000201
567	deep	24	0.000201
568	dear	24	0.000201
569	remarked	24	0.000201
570	expression	24	0.000201
571	minutes	24	0.000201
572	mean	24	0.000201
573	business	24	0.000201
574	wicked	24	0.000201
575	quiet	24	0.000201
576	It’s	24	0.000201
577	doing	24	0.000201
578	find	24	0.000201
579	raised	24	0.000201
580	“but	24	0.000201
581	“She	24	0.000201
582	Kenneth	24	0.000201
583	uncle	24	0.000201
584	terms	23	0.000193
585	uttered	23	0.000193
586	closed	23	0.000193
587	gate	23	0.000193
588	horse	23	0.000193
589	short	23	0.000193
590	floor	23	0.000193
591	loved	23	0.000193
592	fast	23	0.000193
593	purpose	23	0.000193
594	earth	23	0.000193
595	seized	23	0.000193
596	features	23	0.000193
597	neck	23	0.000193
598	upon	23	0.000193
599	lost	23	0.000193
600	change	23	0.000193
601	wife	23	0.000193
602	stand	23	0.000193
603	taking	23	0.000193
604	water	23	0.000193
605	followed	23	0.000193
606	probably	23	0.000193
607	remain	23	0.000193
608	tried	23	0.000193
609	blood	23	0.000193
610	pity	23	0.000193
611	sitting	23	0.000193
612	wait	23	0.000193
613	grave	23	0.000193
614	girl	23	0.000193
615	Don’t	23	0.000193
616	country	22	0.000184
617	wind	22	0.000184
618	seated	22	0.000184
619	summer	22	0.000184
620	fine	22	0.000184
621	dog	22	0.000184
622	second	22	0.000184
623	snow	22	0.000184
624	speech	22	0.000184
625	moors	22	0.000184
626	Well	22	0.000184
627	Come	22	0.000184
628	notion	22	0.000184
629	reached	22	0.000184
630	early	22	0.000184
631	woman	22	0.000184
632	Now	22	0.000184
633	friends	22	0.000184
634	that’s	22	0.000184
635	crying	22	0.000184
636	silent	22	0.000184
637	try	22	0.000184
638	E	22	0.000184
639	removed	21	0.000176
640	“Mr	21	0.000176
641	guess	21	0.000176
642	large	21	0.000176
643	parlour	21	0.000176
644	eye	21	0.000176
645	creature	21	0.000176
646	taken	21	0.000176
647	air	21	0.000176
648	th’	21	0.000176
649	mouth	21	0.000176
650	demanded	21	0.000176
651	corner	21	0.000176
652	free	21	0.000176
653	absence	21	0.000176
654	afterwards	21	0.000176
655	state	21	0.000176
656	course	21	0.000176
657	cause	21	0.000176
658	laughed	21	0.000176
659	forth	21	0.000176
660	library	21	0.000176
661	temper	21	0.000176
662	However	21	0.000176
663	four	21	0.000176
664	To	21	0.000176
665	pretty	21	0.000176
666	father’s	21	0.000176
667	seeing	21	0.000176
668	breath	21	0.000176
669	bit	21	0.000176
670	true	21	0.000176
671	sweet	21	0.000176
672	Foundation	21	0.000176
673	six	20	0.000168
674	entirely	20	0.000168
675	glance	20	0.000168
676	stranger	20	0.000168
677	o’clock	20	0.000168
678	immediately	20	0.000168
679	whom	20	0.000168
680	reach	20	0.000168
681	best	20	0.000168
682	forward	20	0.000168
683	sight	20	0.000168
684	sound	20	0.000168
685	compelled	20	0.000168
686	hell	20	0.000168
687	suffer	20	0.000168
688	truth	20	0.000168
689	mad	20	0.000168
690	ground	20	0.000168
